"","Gender","SeniorCitizen","Tenure","MultipleLines","InternetService","OnlineBackup","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","Churn"
"3328","Male","No","TRUE","Yes","Fiber optic","Yes","No","Yes","One year","No","Electronic check","No"
"5032","Male","No","FALSE","No","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"5985","Male","No","TRUE","Yes","Fiber optic","No","No","Yes","Month-to-month","Yes","Electronic check","Yes"
"2059","Male","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)","No"
"4690","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Electronic check","No"
"380","Male","No","TRUE","Yes","Fiber optic","No","No","No","One year","No","Electronic check","No"
"320","Male","No","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Credit card (automatic)","No"
"6978","Male","No","TRUE","No","DSL","Yes","No","No","Month-to-month","Yes","Mailed check","No"
"1262","Female","No","FALSE","No","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","No"
"6402","Female","No","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Mailed check","Yes"
"3160","Male","Yes","FALSE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"3196","Female","No","FALSE","No","Fiber optic","Yes","No","No","Month-to-month","No","Electronic check","No"
"5893","Male","No","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Mailed check","No"
"1660","Male","No","TRUE","Yes","DSL","Yes","No","Yes","Two year","No","Credit card (automatic)","No"
"2338","Female","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)","Yes"
"606","Male","No","TRUE","Yes","DSL","No","Yes","Yes","Two year","No","Credit card (automatic)","No"
"2907","Female","No","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Mailed check","No"
"6347","Male","Yes","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Credit card (automatic)","Yes"
"262","Male","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"6070","Male","No","TRUE","No","DSL","Yes","Yes","Yes","One year","No","Credit card (automatic)","No"
"6909","Male","No","FALSE","No","DSL","No","Yes","No","Month-to-month","No","Electronic check","Yes"
"2439","Female","No","FALSE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","Yes"
"1897","Male","No","TRUE","Yes","DSL","Yes","No","No","Month-to-month","No","Electronic check","No"
"5968","Male","Yes","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","Yes"
"2386","Female","No","FALSE","No","DSL","Yes","No","No","Month-to-month","No","Mailed check","No"
"3553","Male","No","TRUE","Yes","Fiber optic","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)","No"
"2584","Female","Yes","TRUE","No","DSL","No","Yes","No","Two year","No","Bank transfer (automatic)","No"
"6369","Male","Yes","FALSE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"6393","Female","No","TRUE","No","DSL","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"4101","Male","No","TRUE","No","No","No","No","No","Two year","No","Electronic check","No"
"6933","Male","No","FALSE","No","DSL","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","No"
"6876","Female","No","TRUE","No","No","No","No","No","Two year","No","Credit card (automatic)","No"
"5451","Male","No","FALSE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Mailed check","Yes"
"1226","Female","No","TRUE","No","DSL","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"5930","Male","Yes","TRUE","Yes","Fiber optic","Yes","No","No","Month-to-month","Yes","Electronic check","No"
"6082","Male","No","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Credit card (automatic)","No"
"3232","Female","No","TRUE","No","DSL","Yes","Yes","Yes","Month-to-month","No","Mailed check","No"
"1022","Male","No","TRUE","No","DSL","No","No","No","One year","No","Mailed check","No"
"2678","Female","No","FALSE","No","Fiber optic","No","No","No","Month-to-month","Yes","Credit card (automatic)","Yes"
"1469","Male","No","TRUE","Yes","Fiber optic","Yes","No","Yes","One year","Yes","Bank transfer (automatic)","No"
"1918","Female","Yes","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","No","Credit card (automatic)","No"
"6907","Female","No","TRUE","No","No","No","No","No","Two year","Yes","Mailed check","No"
"5503","Male","Yes","TRUE","No","Fiber optic","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","Yes"
"12","Male","No","TRUE","No","No","No","No","No","Two year","No","Credit card (automatic)","No"
"6898","Male","No","TRUE","No","DSL","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","No"
"5967","Male","No","TRUE","Yes","Fiber optic","Yes","No","Yes","Month-to-month","Yes","Electronic check","Yes"
"668","Male","No","TRUE","No","DSL","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"1681","Male","No","TRUE","Yes","No","No","No","No","One year","Yes","Mailed check","No"
"1610","Male","No","TRUE","Yes","Fiber optic","No","Yes","Yes","One year","Yes","Electronic check","No"
"1465","Male","No","FALSE","No","DSL","No","No","Yes","Month-to-month","No","Mailed check","No"
"6423","Male","No","TRUE","No","DSL","No","No","No","One year","No","Electronic check","No"
"6764","Male","Yes","TRUE","Yes","DSL","Yes","No","Yes","One year","Yes","Bank transfer (automatic)","No"
"5223","Female","No","FALSE","Yes","DSL","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"4939","Male","No","TRUE","No","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"3219","Male","No","TRUE","No","Fiber optic","Yes","No","No","One year","No","Credit card (automatic)","No"
"3537","Female","No","FALSE","Yes","Fiber optic","Yes","No","No","Month-to-month","Yes","Mailed check","No"
"6054","Female","No","TRUE","Yes","No","No","No","No","Two year","Yes","Electronic check","No"
"4538","Male","No","TRUE","No","DSL","Yes","Yes","Yes","Month-to-month","Yes","Mailed check","No"
"6188","Male","No","FALSE","No","No","No","No","No","Two year","No","Mailed check","No"
"1210","Male","No","TRUE","Yes","Fiber optic","Yes","No","No","One year","Yes","Electronic check","No"
"6389","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","Yes"
"5620","Female","Yes","TRUE","No","Fiber optic","No","Yes","Yes","One year","Yes","Bank transfer (automatic)","No"
"3854","Male","No","TRUE","Yes","Fiber optic","No","No","No","Month-to-month","No","Bank transfer (automatic)","No"
"4871","Male","No","TRUE","Yes","DSL","Yes","No","No","One year","Yes","Bank transfer (automatic)","No"
"1706","Female","Yes","TRUE","Yes","Fiber optic","Yes","No","No","Month-to-month","No","Electronic check","No"
"4093","Female","No","FALSE","No","No","No","No","No","Month-to-month","Yes","Mailed check","No"
"40","Female","No","FALSE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","Yes"
"3676","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"2183","Male","No","TRUE","Yes","Fiber optic","No","Yes","Yes","Two year","Yes","Electronic check","No"
"2276","Male","No","FALSE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"1501","Female","No","TRUE","No","DSL","No","No","Yes","Month-to-month","Yes","Credit card (automatic)","No"
"2073","Male","No","TRUE","No","No","No","No","No","One year","No","Bank transfer (automatic)","No"
"3007","Male","Yes","TRUE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"5166","Male","Yes","FALSE","No","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"5838","Female","No","FALSE","No","DSL","Yes","Yes","Yes","Month-to-month","No","Electronic check","No"
"3024","Male","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","No","Credit card (automatic)","No"
"6886","Male","No","TRUE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Credit card (automatic)","Yes"
"5262","Male","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Electronic check","No"
"879","Female","No","TRUE","Yes","DSL","No","No","No","One year","No","Electronic check","No"
"1467","Male","No","TRUE","No","DSL","No","No","No","Month-to-month","Yes","Electronic check","No"
"3473","Female","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","No","Electronic check","No"
"690","Male","No","TRUE","Yes","Fiber optic","No","No","Yes","Month-to-month","No","Bank transfer (automatic)","No"
"3720","Male","No","TRUE","No","No","No","No","No","One year","No","Credit card (automatic)","No"
"1499","Male","Yes","TRUE","Yes","Fiber optic","No","No","No","Month-to-month","No","Electronic check","Yes"
"2136","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","No"
"5756","Male","Yes","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","No"
"5247","Female","No","FALSE","No","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"6727","Female","Yes","FALSE","No","Fiber optic","No","No","No","Month-to-month","No","Electronic check","Yes"
"2011","Male","No","FALSE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","Yes"
"1964","Male","No","FALSE","No","Fiber optic","No","No","No","Month-to-month","No","Bank transfer (automatic)","No"
"4375","Male","No","TRUE","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)","No"
"2545","Female","No","TRUE","Yes","DSL","No","Yes","Yes","One year","No","Electronic check","No"
"5268","Male","Yes","FALSE","No","No","No","No","No","One year","No","Credit card (automatic)","No"
"5820","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","No"
"441","Female","No","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"146","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","No","Two year","Yes","Credit card (automatic)","No"
"6340","Male","No","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Mailed check","Yes"
"2873","Female","No","TRUE","Yes","No","No","No","No","Two year","No","Electronic check","No"
"3137","Female","No","TRUE","No","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"1040","Male","No","TRUE","No","Fiber optic","Yes","No","No","Month-to-month","Yes","Electronic check","Yes"
"2604","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Electronic check","No"
"3206","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"6410","Male","No","TRUE","No","No","No","No","No","One year","Yes","Mailed check","No"
"4383","Female","Yes","FALSE","Yes","DSL","No","No","No","Month-to-month","No","Mailed check","No"
"1937","Female","No","TRUE","No","DSL","Yes","No","No","One year","Yes","Bank transfer (automatic)","No"
"4266","Male","Yes","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","Yes"
"6440","Female","No","TRUE","No","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"843","Female","No","TRUE","No","No","No","No","No","One year","No","Bank transfer (automatic)","Yes"
"1455","Male","No","TRUE","No","No","No","No","No","Month-to-month","Yes","Mailed check","No"
"4097","Female","No","TRUE","No","Fiber optic","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"3956","Male","No","TRUE","No","DSL","No","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"1760","Male","No","TRUE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"1780","Female","No","FALSE","No","Fiber optic","Yes","Yes","No","Month-to-month","Yes","Electronic check","No"
"6774","Male","Yes","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"1348","Male","No","TRUE","No","No","No","No","No","Two year","Yes","Mailed check","No"
"4741","Male","Yes","TRUE","No","DSL","No","No","Yes","Month-to-month","No","Bank transfer (automatic)","Yes"
"983","Female","No","TRUE","No","DSL","No","No","No","One year","Yes","Electronic check","No"
"1598","Male","No","TRUE","Yes","Fiber optic","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)","No"
"4576","Male","No","FALSE","Yes","No","No","No","No","Month-to-month","No","Mailed check","No"
"2360","Male","No","TRUE","Yes","DSL","Yes","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"3769","Female","No","TRUE","Yes","Fiber optic","Yes","No","No","Month-to-month","Yes","Credit card (automatic)","No"
"488","Male","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"4955","Male","No","FALSE","No","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"2433","Female","Yes","TRUE","Yes","No","No","No","No","One year","No","Electronic check","No"
"5178","Male","Yes","TRUE","Yes","Fiber optic","No","No","Yes","Month-to-month","Yes","Electronic check","Yes"
"844","Female","No","TRUE","No","DSL","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"2193","Male","Yes","TRUE","No","DSL","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"536","Male","No","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","No"
"3620","Female","No","TRUE","No","DSL","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)","No"
"629","Female","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","No","Electronic check","No"
"3938","Female","No","FALSE","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)","No"
"4474","Female","Yes","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","No"
"3940","Female","No","FALSE","No","Fiber optic","No","No","Yes","Month-to-month","No","Electronic check","Yes"
"1327","Female","No","TRUE","No","DSL","Yes","Yes","No","One year","Yes","Bank transfer (automatic)","No"
"3946","Female","No","FALSE","No","DSL","No","No","No","Month-to-month","No","Mailed check","Yes"
"4537","Male","No","FALSE","No","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"4210","Male","No","TRUE","No","DSL","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"1152","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Electronic check","No"
"494","Male","Yes","TRUE","Yes","DSL","Yes","No","Yes","One year","No","Bank transfer (automatic)","No"
"3980","Male","No","TRUE","Yes","No","No","No","No","Two year","Yes","Credit card (automatic)","No"
"333","Male","No","TRUE","Yes","Fiber optic","Yes","Yes","No","One year","Yes","Credit card (automatic)","No"
"3300","Male","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","Yes","Credit card (automatic)","No"
"5896","Female","No","TRUE","No","DSL","No","Yes","No","Month-to-month","Yes","Mailed check","No"
"3877","Male","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"3302","Female","Yes","FALSE","No","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"5312","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)","Yes"
"3853","Male","No","FALSE","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"6593","Male","No","TRUE","No","DSL","No","Yes","No","One year","No","Credit card (automatic)","No"
"6518","Female","No","FALSE","No","DSL","No","Yes","No","Month-to-month","No","Electronic check","No"
"6448","Male","No","TRUE","No","DSL","No","Yes","Yes","One year","No","Mailed check","No"
"5064","Male","No","TRUE","Yes","Fiber optic","Yes","No","No","Month-to-month","Yes","Electronic check","Yes"
"2616","Female","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"3001","Male","No","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"4035","Male","No","FALSE","No","DSL","No","No","No","Month-to-month","No","Bank transfer (automatic)","No"
"789","Female","No","TRUE","Yes","DSL","Yes","Yes","Yes","One year","No","Electronic check","No"
"3251","Male","No","FALSE","No","No","No","No","No","One year","Yes","Mailed check","No"
"1923","Male","No","TRUE","Yes","DSL","No","Yes","No","Month-to-month","No","Electronic check","No"
"3858","Male","No","FALSE","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)","No"
"5530","Male","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"5635","Female","No","FALSE","No","No","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"191","Male","No","TRUE","Yes","DSL","No","No","Yes","One year","Yes","Credit card (automatic)","No"
"4901","Male","Yes","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"456","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"3486","Male","No","FALSE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Credit card (automatic)","Yes"
"6295","Male","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","Yes"
"5419","Male","Yes","TRUE","Yes","Fiber optic","Yes","No","No","Month-to-month","Yes","Credit card (automatic)","No"
"4664","Female","Yes","FALSE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"4793","Female","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","Yes","Electronic check","Yes"
"5345","Male","No","TRUE","No","DSL","Yes","Yes","No","Two year","Yes","Credit card (automatic)","No"
"1207","Female","No","FALSE","No","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","No"
"4644","Male","No","FALSE","Yes","DSL","No","Yes","No","Month-to-month","Yes","Mailed check","No"
"4586","Female","Yes","FALSE","Yes","Fiber optic","No","No","Yes","Month-to-month","Yes","Electronic check","Yes"
"2234","Male","No","TRUE","No","DSL","Yes","Yes","No","Month-to-month","Yes","Mailed check","No"
"1908","Female","No","FALSE","No","DSL","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"632","Female","No","TRUE","Yes","DSL","No","No","No","Month-to-month","No","Bank transfer (automatic)","No"
"288","Male","No","FALSE","No","Fiber optic","No","No","No","Month-to-month","No","Electronic check","Yes"
"6939","Female","No","TRUE","Yes","DSL","No","No","Yes","Two year","Yes","Bank transfer (automatic)","No"
"4435","Female","No","TRUE","Yes","Fiber optic","Yes","No","No","Month-to-month","No","Electronic check","No"
"5194","Female","No","TRUE","Yes","No","No","No","No","Two year","No","Credit card (automatic)","No"
"4136","Female","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","No"
"81","Female","No","FALSE","No","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"5926","Male","No","TRUE","Yes","DSL","Yes","Yes","No","One year","Yes","Electronic check","No"
"3175","Male","No","TRUE","No","DSL","No","Yes","Yes","One year","Yes","Credit card (automatic)","No"
"2263","Female","No","FALSE","No","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"5943","Female","No","FALSE","No","DSL","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"1249","Female","No","FALSE","Yes","Fiber optic","No","Yes","No","Month-to-month","No","Electronic check","Yes"
"2426","Male","No","TRUE","No","No","No","No","No","Month-to-month","Yes","Electronic check","No"
"2567","Female","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)","No"
"367","Male","No","TRUE","No","DSL","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","No"
"1698","Female","No","TRUE","No","DSL","Yes","Yes","No","Two year","No","Credit card (automatic)","No"
"3188","Male","No","TRUE","No","Fiber optic","Yes","Yes","No","Month-to-month","Yes","Electronic check","No"
"4808","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","No"
"5435","Male","No","TRUE","Yes","Fiber optic","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","No"
"3236","Female","No","TRUE","No","DSL","Yes","No","No","One year","No","Credit card (automatic)","No"
"1201","Male","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","Yes","Credit card (automatic)","No"
"2923","Female","No","TRUE","No","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Mailed check","Yes"
"1195","Female","No","TRUE","No","DSL","Yes","No","No","Month-to-month","No","Electronic check","No"
"2698","Female","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)","No"
"2274","Male","No","TRUE","No","No","No","No","No","One year","No","Credit card (automatic)","No"
"780","Male","No","FALSE","No","DSL","No","No","No","Month-to-month","No","Electronic check","Yes"
"4956","Male","No","FALSE","No","Fiber optic","No","No","No","Month-to-month","No","Mailed check","Yes"
"1502","Male","No","TRUE","No","No","No","No","No","Two year","No","Mailed check","No"
"2235","Male","No","TRUE","Yes","DSL","Yes","No","No","Two year","No","Mailed check","No"
"835","Female","Yes","FALSE","No","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"3326","Male","No","FALSE","Yes","Fiber optic","No","No","Yes","Month-to-month","Yes","Electronic check","Yes"
"3939","Female","No","FALSE","No","DSL","No","No","No","Month-to-month","No","Mailed check","No"
"6656","Female","No","TRUE","Yes","No","No","No","No","Two year","No","Mailed check","No"
"1241","Male","No","TRUE","No","No","No","No","No","Month-to-month","Yes","Mailed check","No"
"4394","Female","No","TRUE","Yes","Fiber optic","No","No","Yes","Month-to-month","Yes","Electronic check","Yes"
"3461","Female","No","TRUE","No","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","No"
"3876","Male","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","Yes","Electronic check","Yes"
"5275","Female","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","Yes","Credit card (automatic)","No"
"4194","Male","No","FALSE","No","No","No","No","No","Month-to-month","No","Credit card (automatic)","No"
"78","Female","No","FALSE","No","DSL","Yes","No","No","Month-to-month","No","Mailed check","No"
"3179","Male","No","TRUE","No","Fiber optic","No","Yes","No","Month-to-month","No","Electronic check","Yes"
"507","Male","No","FALSE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Mailed check","No"
"1234","Female","No","TRUE","Yes","No","No","No","No","Two year","No","Bank transfer (automatic)","No"
"4595","Female","No","TRUE","No","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"2251","Female","No","TRUE","No","No","No","No","No","One year","No","Credit card (automatic)","No"
"4893","Male","Yes","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","No"
"6918","Female","No","TRUE","Yes","Fiber optic","Yes","No","No","Two year","Yes","Bank transfer (automatic)","No"
"4780","Female","No","TRUE","No","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"118","Female","No","FALSE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"1108","Female","No","TRUE","Yes","No","No","No","No","Two year","No","Bank transfer (automatic)","No"
"4412","Female","No","TRUE","No","DSL","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","No"
"5093","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"4507","Male","Yes","TRUE","Yes","DSL","Yes","Yes","No","Two year","No","Credit card (automatic)","No"
"2416","Female","Yes","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","Yes"
"2737","Female","Yes","TRUE","Yes","Fiber optic","Yes","No","Yes","Month-to-month","No","Electronic check","No"
"116","Male","No","FALSE","No","Fiber optic","Yes","Yes","No","Month-to-month","No","Electronic check","No"
"5468","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","No","One year","No","Mailed check","No"
"1551","Male","Yes","FALSE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","No"
"5823","Female","Yes","TRUE","No","Fiber optic","No","No","No","Month-to-month","No","Electronic check","No"
"1630","Male","No","TRUE","No","DSL","Yes","No","Yes","Two year","No","Bank transfer (automatic)","No"
"6633","Female","No","TRUE","Yes","DSL","Yes","No","No","Month-to-month","No","Electronic check","Yes"
"4647","Female","No","FALSE","No","Fiber optic","No","No","No","Month-to-month","Yes","Mailed check","No"
"3422","Female","No","TRUE","Yes","Fiber optic","Yes","No","No","Two year","Yes","Bank transfer (automatic)","No"
"4268","Female","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"2967","Female","Yes","TRUE","No","DSL","No","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"2464","Male","No","FALSE","Yes","Fiber optic","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","No"
"5652","Female","No","TRUE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"4250","Female","No","FALSE","No","DSL","Yes","No","Yes","One year","Yes","Mailed check","No"
"5631","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"6194","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","Yes","Credit card (automatic)","No"
"5946","Female","Yes","TRUE","No","Fiber optic","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)","No"
"4475","Male","No","TRUE","No","DSL","No","Yes","Yes","Two year","No","Credit card (automatic)","No"
"4607","Female","No","FALSE","Yes","No","No","No","No","Two year","No","Mailed check","No"
"6059","Male","No","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"4821","Female","No","TRUE","Yes","DSL","No","Yes","Yes","Two year","Yes","Electronic check","No"
"5220","Male","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"5627","Female","No","FALSE","No","DSL","No","No","Yes","Month-to-month","No","Bank transfer (automatic)","No"
"4161","Male","No","TRUE","No","DSL","No","Yes","Yes","One year","No","Bank transfer (automatic)","No"
"6586","Female","No","TRUE","No","No","No","No","No","One year","No","Mailed check","No"
"5737","Male","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"1530","Female","No","TRUE","No","No","No","No","No","Two year","No","Bank transfer (automatic)","No"
"1224","Female","No","FALSE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"6581","Female","No","TRUE","No","DSL","Yes","Yes","Yes","One year","No","Credit card (automatic)","No"
"6355","Female","No","TRUE","No","Fiber optic","Yes","No","Yes","One year","No","Bank transfer (automatic)","No"
"6968","Male","Yes","TRUE","Yes","Fiber optic","Yes","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"2761","Male","No","TRUE","No","No","No","No","No","One year","Yes","Credit card (automatic)","No"
"689","Male","No","TRUE","No","DSL","Yes","No","No","One year","No","Mailed check","No"
"6272","Male","Yes","TRUE","Yes","Fiber optic","No","No","No","One year","Yes","Electronic check","No"
"4529","Female","No","TRUE","No","Fiber optic","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)","No"
"3356","Female","No","TRUE","Yes","Fiber optic","Yes","No","No","Two year","No","Credit card (automatic)","No"
"24","Female","No","TRUE","Yes","DSL","Yes","No","No","Two year","Yes","Credit card (automatic)","No"
"119","Female","No","TRUE","No","No","No","No","No","Two year","No","Mailed check","No"
"861","Male","No","TRUE","No","No","No","No","No","One year","No","Credit card (automatic)","No"
"5416","Female","No","TRUE","Yes","DSL","No","No","No","Month-to-month","Yes","Electronic check","No"
"6322","Female","No","TRUE","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)","Yes"
"6051","Male","No","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","No","Bank transfer (automatic)","No"
"6274","Female","Yes","FALSE","No","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"4526","Male","No","TRUE","No","Fiber optic","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)","No"
"6741","Female","Yes","TRUE","No","Fiber optic","Yes","No","No","Month-to-month","Yes","Credit card (automatic)","Yes"
